project_name,url,confidence_note
Radiant Garden Tower,https://royallp.com/wp-content/uploads/2025/04/RADIANT-GARDEN-BY-RADIANT-REAL-ESTATE-REEM-ISLAND.jpg,exact match
Radiant Square,https://royallp.com/wp-content/uploads/2023/06/Radiant-Square-Reem-Island_.jpg,exact match
Ramhan Island - Phase 1,https://royallp.com/wp-content/uploads/2026/03/Infinity-Villas-ramhan-island.jpg,GENERIC - top result is a different sub-development (Infinity Island Villas) on Ramhan Island not Phase 1 specifically
Mayar,https://royallp.com/wp-content/uploads/2024/10/mayar-maysan-by-modon.jpg,exact match
Jacob & Co Beachfront Living,https://royallp.com/wp-content/uploads/2025/04/Jacob-Co.-Beachfront-Living.jpg,exact match
Private,No results,
Diva At The Bay 1,https://royallp.com/wp-content/uploads/2022/09/DIVA-AT-THE-BAY.jpg,exact match
Ramhan Island - Phase 5,https://royallp.com/wp-content/uploads/2026/03/Infinity-Villas-ramhan-island.jpg,GENERIC - same caveat as Phase 1 above
Diva At The Bay 2,https://royallp.com/wp-content/uploads/2022/09/DIVA-AT-THE-BAY.jpg,exact match (same image as Diva 1 - one shared community render)
Reportage Village,No results,only hit was an unrelated blog post
Reem Hills - Phase 1A,https://royallp.com/wp-content/uploads/2023/03/reem-hills-phase-2-.jpg,GENERIC/MISMATCH - top result is labelled Phase 2 Sunset Valley not 1A
Marina Bay By Damac,No results,
Elie Saab Waterfront,No results,best candidate "STELLAR by Elie Saab" on Yas Island was 2nd result not 1st - not confident it's the same project
Nobu Residences 1,https://royallp.com/wp-content/uploads/2025/07/nobu-residences-saadiyat-island-1.jpg,exact match
Reem Hills - Phase 2D,https://royallp.com/wp-content/uploads/2023/03/reem-hills-phase-2-.jpg,GENERIC/MISMATCH - same caveat as 1A above
Rivage,https://royallp.com/wp-content/uploads/2024/11/Rivage-by-Deyaar-.jpg,exact match
Henge Residences,https://royallp.com/wp-content/uploads/2025/04/Henge-Residences-by-Nord-Saadiyat-Island-Apartments.jpg,exact match
Vista 2,No results,
Nour Watan,No results,
Saadiyat Grove - The Source Terraces,No results,
Al Ghadeer - Phase 1,https://royallp.com/wp-content/uploads/2026/05/al-ghadeer-gardens-.jpg,GENERIC - top result is "Al Ghadeer Gardens" not phase-specific
Renad Tower,https://royallp.com/wp-content/uploads/2023/10/Renad-Tower-al-reem-island.jpg,exact match
Thoraya,https://royallp.com/wp-content/uploads/2024/10/Thoraya-_-maysan-by-modon-1.jpg,exact match (was 2nd result; 1st was an unrelated article)
The Gate And Arc Towers,No results,
Nobu Residences 2,https://royallp.com/wp-content/uploads/2025/07/nobu-residences-saadiyat-island-1.jpg,exact match (same image as Nobu Residences 1)
"Sun & Sky, Boutik Mall",No results,
Al Yaqut Tower,No results,
Al Reef 2,No results,
Noya - Phase 2 - Viva,https://royallp.com/wp-content/uploads/2022/09/NOYA.jpg,GENERIC - master-community image not phase-specific
Oasis 1,No results,
Pixel,https://royallp.com/wp-content/uploads/2022/09/Pixel-–-Reem-Island-.jpg,exact match
Al Ghadeer - Phase 2 (Tala),https://royallp.com/wp-content/uploads/2026/05/al-ghadeer-gardens-.jpg,GENERIC - same caveat as Phase 1 above
Hydra Avenue (Hydra Towers),No results,only hit was a developer profile page not a project
Reem Hills - Phase 1B,https://royallp.com/wp-content/uploads/2023/03/reem-hills-phase-2-.jpg,GENERIC/MISMATCH - same caveat as 1A above
Yas Acres - The Cedars,https://royallp.com/wp-content/uploads/2022/09/Yas-Acres-.jpg,GENERIC - master-community image not phase-specific
"The Bridges (Towers 1, 2, And 3)",No results,top result was "Radiant Bridges" - a different, separate project - excluded as a likely mismatch
"The Gate, Masdar City",https://royallp.com/wp-content/uploads/2024/12/WhatsApp-Image-2024-12-17-at-11.14.51-AM.jpeg,exact match (was 3rd result; 1st/2nd were unrelated)
Yas Acres - The Aspens,https://royallp.com/wp-content/uploads/2022/09/Yas-Acres-.jpg,GENERIC - same caveat as The Cedars above
Reem Hills - Phase 2C,https://royallp.com/wp-content/uploads/2023/03/reem-hills-phase-2-.jpg,GENERIC/MISMATCH - same caveat as 1A above
Oasis 2,No results,
